production-1995-vol1	1516	7.5	eeeceee	only
production-1995-vol1	1519	0.6	notitica	notification
production-1995-vol1	1522	4.1	ghpp	ghpp
production-1995-vol1	1532	30.1	eect	NONE
production-1995-vol1	1533	3.0	qtams	NONE
production-1995-vol1	1535	0.0	fyovisions	provisions
production-1995-vol1	1541	39.0	sctvices	services
production-1995-vol1	1544	43.1	recommitments	recommitments
production-1995-vol1	1547	13.6	pvea	pvea
production-1995-vol1	1547	29.0	wotkets	workers
production-1995-vol1	1548	2.2	csbg	csbg
production-1995-vol1	1548	4.1	csbg	csbg
production-1995-vol1	1550	36.0	sistanice	assistance
production-1995-vol1	1551	20.0	usttation	station
production-1995-vol1	1561	23.0	hhabilitation	habilitation
production-1995-vol1	1563	10.3	sacss	sacss
production-1995-vol1	1563	22.3	sacss	sacss
production-1995-vol1	1570	46.0	sacss	sacss
production-1995-vol1	1578	42.0	sacss	sacss
production-1995-vol1	1580	34.0	sacss	sacss
production-1995-vol1	1588	17.0	qtam	NONE
production-1995-vol1	1590	31.0	mecn	NONE
production-1995-vol1	1591	25.0	mecn	NONE
production-1995-vol1	1594	29.1	fumc	NONE
production-1995-vol1	1596	15.0	miinistration	ministration
production-1995-vol1	1617	33.1	fcmat	fcmat
production-1995-vol1	1618	10.2	fcmat	fcmat
production-1995-vol1	1618	18.4	fcmat	fcmat
production-1995-vol1	1618	46.0	testiny	destiny
production-1995-vol1	1619	0.0	ftovisions	provisions
production-1995-vol1	1623	0.0	stantiate	substantiate
production-1995-vol1	1626	7.0	selpa	selpa
production-1995-vol1	1626	29.5	subcaps	subcaps
production-1995-vol1	1626	42.0	selpa	selpa
production-1995-vol1	1643	12.0	sctvices	services
production-1995-vol1	1643	41.0	qtaims	claims
production-1995-vol1	1645	0.0	ftrovisions	provisions
production-1995-vol1	1655	16.0	tvalion	valion
production-1995-vol1	1657	23.1	qyanus	NONE
production-1995-vol1	1660	0.0	ftovisions	provisions
production-1995-vol1	1661	18.0	setuction	seduction
production-1995-vol1	1662	4.1	consetuction	construction
production-1995-vol1	1662	24.0	sttuction	struction
production-1995-vol1	1662	31.0	cyawings	drawings
production-1995-vol1	1663	24.0	gtawings	drawings
production-1995-vol1	1665	0.0	pftovisions	provisions
production-1995-vol1	1670	16.0	comstiuction	construction
production-1995-vol1	1670	20.0	setuction	seduction
production-1995-vol1	1670	26.0	seyuchion	seduction
production-1995-vol1	1670	29.0	setuction	seduction
