production-1997-vol2	591	3.0	oovisions	provisions
production-1997-vol2	592	17.0	isttalion	battalion
production-1997-vol2	600	35.0	hhabilitation	habilitation
production-1997-vol2	601	35.0	solvices	services
production-1997-vol2	604	0.0	atenm	NONE
production-1997-vol2	609	0.1	athoul	athol
production-1997-vol2	614	0.1	noulet	NONE
production-1997-vol2	616	0.1	aunoun	adnoun
production-1997-vol2	616	34.4	sfis	sfis
production-1997-vol2	617	31.7	consor	consor
production-1997-vol2	619	42.4	sacss	sacss
production-1997-vol2	620	12.2	sacss	sacss
production-1997-vol2	621	2.1	sacss	sacss
production-1997-vol2	621	3.2	hwdc	hwdc
production-1997-vol2	621	9.0	hwdc	hwdc
production-1997-vol2	621	11.5	hwdc	hwdc
production-1997-vol2	621	14.7	hwdc	hwdc
production-1997-vol2	621	18.1	sacss	sacss
production-1997-vol2	621	21.7	sacss	sacss
production-1997-vol2	621	44.2	sacss	sacss
production-1997-vol2	621	47.1	sacss	sacss
production-1997-vol2	622	1.7	sacss	sacss
production-1997-vol2	629	7.0	tvation	ovation
production-1997-vol2	632	11.0	elalion	elation
production-1997-vol2	639	0.0	amouml	amount
production-1997-vol2	641	11.0	csatf	csatf
production-1997-vol2	642	37.0	controher	controller
production-1997-vol2	647	39.0	sttuction	struction
production-1997-vol2	648	10.0	setuction	seduction
production-1997-vol2	650	0.1	amoutin	amounting
production-1997-vol2	659	43.0	setuction	seduction
production-1997-vol2	661	10.0	seyuction	seduction
production-1997-vol2	677	14.0	sctvices	services
production-1997-vol2	686	20.1	fcmat	fcmat
production-1997-vol2	686	34.0	fcmat	fcmat
production-1997-vol2	686	38.6	fcmat	fcmat
production-1997-vol2	687	19.0	fcmat	fcmat
production-1997-vol2	687	28.5	fcmat	fcmat
production-1997-vol2	688	27.2	eects	effects
production-1997-vol2	697	0.1	awnout	amount
production-1997-vol2	699	0.1	atnoun	adnoun
production-1997-vol2	699	13.0	sttuction	struction
production-1997-vol2	699	43.0	selpa	selpa
production-1997-vol2	700	18.5	subcaps	subcaps
production-1997-vol2	700	31.0	selpa	selpa
production-1997-vol2	706	7.0	ucalion	education
production-1997-vol2	706	36.0	emmies	emmies
production-1997-vol2	706	36.7	nesees	nesses
production-1997-vol2	714	0.0	atelli	NONE
production-1997-vol2	724	44.0	pyoqram	program
production-1997-vol2	725	2.0	ucalion	education
production-1997-vol2	738	44.1	eect	effect
production-1997-vol2	743	34.0	fottia	fotia
