production-1991-vol2	1029	48.0	orrrn	<<orrrn>>	orran|orren|orrin|orrr|orrrr
production-1991-vol2	1065	17.10	supervisees	a group of no more than eight <<supervisees>> at	supervises
production-1991-vol2	1074	43.0	oxaert	<<oxaert>>	expert
production-1991-vol2	1082	48.0	oseon	<<oseon>>	joseon|odeon|osean|osen|seon
production-1991-vol2	1084	47.0	obren	<<obren>>	boren|bren|oben|obree|obrien|ogren
production-1991-vol2	1087	47.0	qmos	<<qmos>> n	amos|cmos|dmos|emos|gmos|hmos
production-1991-vol2	1089	45.0	ognig	<<ognig>>	gonig|ogni|pgnig
production-1991-vol2	1102	30.0	obseo	<<obseo>>	obse|obser|osseo
production-1991-vol2	1112	47.0	ggord	<<ggord>>	gord
production-1991-vol2	1126	40.0	lampara	<<lampara>> or round haul type net the mesh	lampard
production-1991-vol2	1133	0.0	ohowilng	<<ohowilng>> tacts exist	showing
production-1991-vol2	1138	41.0	oriic	<<oriic>>	orbic|orgic|oric|origin|ortic
production-1991-vol2	1140	48.0	oronc	<<oronc>>	bronc|oron|orono|tronc
production-1991-vol2	1146	14.3	retrocessions	bind reinsurance or <<retrocessions>> on behalf of the insurer	retrocession
production-1991-vol2	1148	41.0	orarn	<<orarn>>	oran|oraon|orary|orran
production-1991-vol2	1152	47.0	orbro	<<orbro>>	orbo|orebro|ororo|oruro
production-1991-vol2	1158	8.5	nonmanufacturer	manufacturer installed options but excluding <<nonmanufacturer>>	nonmanufacture|nonmanufactured
production-1991-vol2	1158	47.0	qrsic	<<qrsic>>	basic
production-1991-vol2	1162	0.1	programy	taking <<programy>>	program|programa|programe|programm|programs
production-1991-vol2	1163	41.0	osnen	<<osnen>>	onen|onnen|onsen|osen|osner|osnes
production-1991-vol2	1181	47.0	oorndd	<<oorndd>>	horned
production-1991-vol2	1187	47.0	oorsd	<<oorsd>>	oord
production-1991-vol2	1188	48.0	onowtn	<<onowtn>>	known
production-1991-vol2	1194	20.2	dbcp	sanger a <<dbcp>> wellhead	abcp|bcp|cbcp|dbc|dbp|dcp
production-1991-vol2	1197	27.3	coowner	transfers from one <<coowner>> to one or more owners	cooner|crowner
production-1991-vol2	1228	44.0	oisic	<<oisic>>	isic|oisin
production-1991-vol2	1230	31.5	intercommunications	normal hearing by way of <<intercommunications>> devices for the deaf	intercommunication
production-1991-vol2	1233	30.4	nonwaste	unit or an associated <<nonwaste>> treatment manufacturing unit is not	noncaste
production-1991-vol2	1236	11.2	eects	coordinator i <<eects>> abz	ects|eecs|eets|ejects|elects|erects
production-1991-vol2	1248	30.2	microphotographer	m one <<microphotographer>> who shall receive the biweekly	microphotographed
production-1991-vol2	1248	36.3	microphotographer	p one senior <<microphotographer>> who shall receive the	microphotographed
production-1991-vol2	1271	0.0	oherit	<<oherit>>	herit|merit
production-1991-vol2	1279	0.0	valaly	<<valaly>>	salary|valary|vally
production-1991-vol2	1288	8.3	eects	h deputy marshal <<eects>>	ects|eecs|eets|ejects|elects|erects
production-1991-vol2	1290	0.2	fnange	number title <<fnange>>	fange|flange
