production-1995-vol1	1516	7.5	eeeceee	used for substance abuse programs <<eeeceee>>	eeeeee|eeeeeee
production-1995-vol1	1519	0.6	notitica	tance program these funds subject to <<notitica>>	notitia
production-1995-vol1	1522	4.1	ghpp	and <<ghpp>> repayments	gapp|gepp|ghp|ghrp|gipp|gpp
production-1995-vol1	1532	30.1	eect	gta <<eect>> trterterrerreeecerses	bect|cect|dect|ect|eec|eech
production-1995-vol1	1533	3.0	qtams	<<qtams>> ee eeeeeeeseereceseeesereresseeereeees	stams|tams
production-1995-vol1	1535	0.0	fyovisions	<<fyovisions>>	provisions
production-1995-vol1	1541	39.0	sctvices	<<sctvices>> vecceesereesereeteseeeterereesesseeeees	services
production-1995-vol1	1544	43.1	recommitments	offender <<recommitments>>	recommitment
production-1995-vol1	1547	13.6	pvea	percent of the total liheap grant <<pvea>> fund	avea|evea|paea|pdea|pea|plea
production-1995-vol1	1547	29.0	wotkets	<<wotkets>> eee percent	workers
production-1995-vol1	1548	2.2	csbg	block grant <<csbg>> contractors as a result of	cabg|cbg|cdbg|csb|csbs|csg
production-1995-vol1	1548	4.1	csbg	for <<csbg>> programs in fiscal year	cabg|cbg|cdbg|csb|csbs|csg
production-1995-vol1	1550	36.0	sistanice	<<sistanice>> eeeeecteereerertereteesereeersees	distance
production-1995-vol1	1551	20.0	usttation	<<usttation>> ceccceseceeeseeeteeereeeereeeess	station
production-1995-vol1	1561	23.0	hhabilitation	<<hhabilitation>> cccccessscesssesereeesseseeeresstresseterstteeeee	habilitation
production-1995-vol1	1563	10.3	sacss	child support system <<sacss>> not eligible for	acss|sachs|sacks|sacs|sass|scss
production-1995-vol1	1563	22.3	sacss	most recent approved <<sacss>> special project respective	acss|sachs|sacks|sacs|sass|scss
production-1995-vol1	1570	46.0	sacss	<<sacss>> shall not be available for	acss|sachs|sacks|sacs|sass|scss
production-1995-vol1	1578	42.0	sacss	<<sacss>> a portion of these reappropriated	acss|sachs|sacks|sacs|sass|scss
production-1995-vol1	1580	34.0	sacss	<<sacss>> a portion of these reappropriated	acss|sachs|sacks|sacs|sass|scss
production-1995-vol1	1588	17.0	qtam	<<qtam>> ee eieeeeeeeseeeeeeerettttteserseerereeee	atam|etam|itam|qam|qta|qtum
production-1995-vol1	1590	31.0	mecn	<<mecn>> eeceeeseeeeetteteesereereserteereerere	ecn|mcn|mean|mec|meca|mecan
production-1995-vol1	1591	25.0	mecn	<<mecn>> vo eeeeeeseseeeeeessteettetereeetseeeseees	ecn|mcn|mean|mec|meca|mecan
production-1995-vol1	1594	29.1	fumc	thon <<fumc>> ccsccseeseceeecescneerseseseneensceseseeceereneeenees	fmc|fomc|fuc|fucc|fukc|fum
production-1995-vol1	1596	15.0	miinistration	<<miinistration>> ceeeessseseresesereeeee	ministration
production-1995-vol1	1617	33.1	fcmat	b <<fcmat>> eee	cmat|fcat
production-1995-vol1	1618	10.2	fcmat	assistance team <<fcmat>> on a reimburse	cmat|fcat
production-1995-vol1	1618	18.4	fcmat	be administered by the <<fcmat>> allocations	cmat|fcat
production-1995-vol1	1618	46.0	testiny	<<testiny>> plovtam cceeeeceeeeceveeeeceeeevecenevceeneeeeenes	destiny|testify|testily|testin|testing|testino
production-1995-vol1	1619	0.0	ftovisions	<<ftovisions>>	provisions
production-1995-vol1	1623	0.0	stantiate	<<stantiate>> that each successive hour or portion of	stantial
production-1995-vol1	1626	7.0	selpa	<<selpa>> pupil count data and an average num	salpa|sela|selca|selda|selia|selja
production-1995-vol1	1626	29.5	subcaps	in provision waivers of the <<subcaps>>	hubcaps|subways
production-1995-vol1	1626	42.0	selpa	<<selpa>> that additional units are necessary for	salpa|sela|selca|selda|selia|selja
production-1995-vol1	1643	12.0	sctvices	<<sctvices>> ccceesteseteeseeeeesererteseeses	services
production-1995-vol1	1643	41.0	qtaims	<<qtaims>> oo ee eeeeeeeeeeeereeeeeeeeereeeeee	claims
production-1995-vol1	1645	0.0	ftrovisions	<<ftrovisions>>	provisions
production-1995-vol1	1655	16.0	tvalion	<<tvalion>> ccecseeeseeeeeeereeeerereseeesesee	talion
production-1995-vol1	1657	23.1	qyanus	stam <<qyanus>> cessseeeeeerecereceeeseseeseesessseeeaeereereeees	anus|cyanus
production-1995-vol1	1660	0.0	ftovisions	<<ftovisions>>	provisions
