production-1873-74	77	CLV
production-1873-74	93	CXXXVII
production-1873-74	141	CCXVI
production-1873-74	151	CXXXIV
production-1873-74	164	CCLV
production-1873-74	206	CCCXXXV
production-1873-74	219	CCCLIV
production-1873-74	221	CCCLV
production-1873-74	239	CCCCI
production-1873-74	252	CCCCV
production-1873-74	263	CCCLXV
production-1873-74	269	CCCCXCIV
production-1873-74	274	DIII
production-1873-74	294	DXXVII
production-1873-74	300	DXXXV
production-1873-74	318	DLXX
production-1873-74	319	DLXXVII
production-1873-74	328	DCII
production-1873-74	335	DCXII
production-1873-74	361	DCXLVIII
production-1875-76	50	LXVII
