production-1875-76	79	CXL
production-1875-76	291	DVII
production-1875-76	337	DLXXII
production-1877-78	1	III
production-1877-78	41	LIII
production-1877-78	48	LXII
production-1891	55	LX
production-1891	170	CXCV
production-1891	176	CCII
production-1895	143	CLIII
production-1899	36	XLV
production-1899	50	LXV
production-1899	102	CXXVII
production-1899	107	UNKNOWN
production-1899	109	CXLV
production-1899	169	CCV
production-1900-01	52	LXVII
production-1900-01	198	CXLI
production-1900-01	229	CLXV
production-1999-vol4	159	929
