[2026-06-21 00:00 PT] START | Visual recovery campaign for year 1951 | OK
[2026-06-21 00:01 PT] MANIFEST | python _residual_manifest.py 1951 -> 11 missing: [435, 654, 655, 756, 829, 831, 1684, 1717, 1734, 1744, 1757] | OK
[2026-06-21 00:02 PT] STRUCTURE | Vol1-chapters: OCR keys 1-indexed, NO pages_raw on disk (pages not migrated from old pre-relocation path C:\Users\PatrickKolasinski\PatoLex-scratch\); Vol2-chapters: OCR keys 0-indexed, pages_raw EXISTS (2024 PNGs) | WARN
[2026-06-21 00:03 PT] SCAN-VOL1 | Deep OCR scan of all 4 engines across page ranges for missing vol1 chapters. Results: CH 435 found at p1298 (all engines garble number as =35/-30/--35), CH 654/655 not found anywhere (inverted page range anomaly), CH 756 header absent from all engines on p1899, CH 829/831 have inverted page ranges + unidentified act at p2197 (San Lucas Dam) | WARN
[2026-06-21 00:04 PT] SCAN-VOL2 | Deep OCR scan of all 4 engines across page ranges for missing vol2 chapters. CH 1684 found at p1161 (OCR garbled header but text confirms), CH 1717 found at p1318, CH 1734 found at p1357, CH 1744 found at p1439, CH 1757 found at p1463 | OK
[2026-06-21 00:05 PT] IMAGE-CH1684 | Read page_1161.png: CONFIRMS 'CHAPTER 1684' header + '[Ch. 1684]' running head. Title: 'An act to add Section 31a to an act entitled...' | OK
[2026-06-21 00:06 PT] IMAGE-CH1717 | Read page_1318.png: CONFIRMS 'CHAPTER 1717' header + '[Ch. 1717]' running head. Title: 'An act to validate the organization of a county water district.' | OK
[2026-06-21 00:07 PT] IMAGE-CH1734 | Read page_1357.png: CONFIRMS '[Ch. 1734]' running head + 'CHAPTER 1734' block header. Title: 'An act to add Article 4.5, comprising Sections 20215 to 20228...' (State Employees' Retirement System, real property investments) | OK
[2026-06-21 00:08 PT] IMAGE-CH1744 | Read page_1439.png: CONFIRMS '[Ch. 1744]' running head + 'CHAPTER 1744' block header. Title: 'An act to add Section 8215 to the Government Code, relating to notaries public.' | OK
[2026-06-21 00:09 PT] IMAGE-CH1757 | Read page_1463.png: CONFIRMS '[Ch 1757]' running head + 'CHAPTER 1757' block header. Title: 'An act to add Article 6, comprising Sections 20930 to 20934...' (State Employees' Retirement System, credit for local public agency service) | OK
[2026-06-21 00:10 PT] OUTPUT-VOL2 | Written C:\PatoLex-scratch\production-1951-vol2-chapters\parsed_acts_visual.json: 5 acts, all image_verified, printed_number_confirmed=True | OK
[2026-06-21 00:11 PT] OUTPUT-VOL1 | Written C:\PatoLex-scratch\production-1951-vol1-chapters\parsed_acts_visual.json: 6 acts (2 legislative_gap, 4 not_found_needs_reocr), printed_number_confirmed=False (no images) | WARN
[2026-06-21 00:12 PT] COMPLETE | 11 targeted: 5 image_verified (all vol2), 2 legislative_gap (654, 655 -- inverted range, no text found), 4 not_found_needs_reocr (435, 756, 829, 831 -- vol1 images missing from disk) | WARN
[2026-06-21 00:13 PT] NOTE | Vol1 pages_raw images MUST be recovered for 435, 756, 829, 831 confirmation. The printed PDFs or a re-scan of the raw images from the original source is required. The OCR text is sufficient to locate the pages but not to confirm printed chapter numbers. | WARN
