production-1871-72	200	CCXCIV
production-1871-72	235	CCCXLV
production-1871-72	247	CCCLXV
production-1871-72	285	CCCCXLII
production-1871-72	292	CCCCLV
production-1871-72	296	CCCCLXV
production-1871-72	309	DIV
production-1871-72	332	DXXXIV
production-1871-72	335	DXLV
production-1871-72	341	DLI
production-1871-72	355	DLXXV
production-1880	33	XXXVIII
production-1880	106	CXXIII
production-1881	59	LXXVI
production-1885-86	88	CVIII
production-1887	126	CXLIII
production-1887	157	CLXXXII
production-1889	132	CLVIII
production-1889	173	CCVIII
production-1889	206	CCLVIII
production-1889	208	CCLXI
production-1889	211	CCLXV
production-1893	31	XXXIII
