production-1963-vol2-chapters	827	1937
production-1963-vol2-chapters	1017	2143
production-1965-vol2	796	1377
production-1968-vol2-chapters	179	1163
production-1968-vol2-chapters	241	1243
production-1968-vol2-chapters	317	1345
production-1971-vol1-chapters	768	907
production-1971-vol1-chapters	944	1120
production-1971-vol1-chapters	1033	1234
production-1971-vol1-chapters	1034	UNKNOWN
production-1971-vol1-chapters	1062	1273
production-1971-vol1-chapters	1070	1288
production-1971-vol2	14	1321
production-1971-vol2	79	1401
production-1971-vol2	384	1797
production-1975-vol1-chapters	129	134
production-1979-vol3	49	1033
production-1979-vol3	182	1201
production-1982-vol5	85	1615
production-1988-vol3	71	1313
production-1999-vol4	159	UNKNOWN
