production-1862	14	LVI
production-1862	20	LXXII
production-1862	25	LXXXIII
production-1862	52	CXLVIII
production-1862	62	CLXVIII
production-1862	63	CLXIX
production-1862	142	CCCCV
production-1862	143	CCCCIX
production-1862	154	CCCCXLII
production-1863	0	I
production-1863	28	XLII
production-1863	30	XLVII
production-1863	32	L
production-1863	60	CIV
production-1863	70	CXXIII
production-1871-72	58	LXXV
production-1871-72	79	CIV
production-1871-72	113	CLIV
production-1871-72	114	CLVI
production-1871-72	115	CLVII
production-1871-72	145	CCV
production-1871-72	146	CCVI
production-1871-72	175	CCXLV
