production-1863	110	CCXLV
production-1863	189	DIV
production-1863-64	31	LII
production-1863-64	216	CCCCIII
production-1865-66	30	XLII
production-1865-66	107	XCIII
production-1865-66	153	CCIII
production-1865-66	320	DCXI
production-1867-68	2	IV
production-1867-68	40	XLIV
production-1867-68	68	LXXIV
production-1867-68	130	CXLIV
production-1867-68	193	CCXV
production-1867-68	246	CCXCIV
production-1867-68	278	CCCXXXV
production-1867-68	335	CCCCXXI
production-1867-68	356	CCCCLV
production-1867-68	385	DXVII
production-1867-68	409	DXLV
production-1869-70	26	XXXV
production-1869-70	44	LVIII
